LexToken(OPEN_TAG,'<?php',1,1)
LexToken(IDENTIFIER,'function',1,7)
LexToken(IDENTIFIER,'generarContrasena',1,16)
LexToken(OPEN_PARENTHESIS,'(',1,33)
LexToken(VARIABLE,'$longitud',1,34)
LexToken(EQUALS,'=',1,44)
LexToken(NUMBER,12,1,46)
LexToken(CLOSE_PARENTHESIS,')',1,48)
LexToken(OPEN_CURLY_BRACKET,'{',1,50)
LexToken(IDENTIFIER,'Caracteres',1,59)
LexToken(IDENTIFIER,'permitidos',1,70)
LexToken(IDENTIFIER,'en',1,81)
LexToken(IDENTIFIER,'la',1,84)
LexToken(IDENTIFIER,'contrase',1,87)
LexToken(IDENTIFIER,'a',1,96)
LexToken(VARIABLE,'$letrasMayusculas',1,102)
LexToken(EQUALS,'=',1,120)
LexToken(IDENTIFIER,'ABCDEFGHIJKLMNOPQRSTUVWXYZ',1,123)
LexToken(SEMICOLON,';',1,150)
LexToken(VARIABLE,'$letrasMinusculas',1,156)
LexToken(EQUALS,'=',1,174)
LexToken(IDENTIFIER,'abcdefghijklmnopqrstuvwxyz',1,177)
LexToken(SEMICOLON,';',1,204)
LexToken(VARIABLE,'$meee',1,210)
LexToken(EQUALS,'=',1,216)
LexToken(IDENTIFIER,'de',1,219)
LexToken(IDENTIFIER,'dllde',1,222)
LexToken(SEMICOLON,';',1,228)
LexToken(VARIABLE,'$numeros',1,234)
LexToken(EQUALS,'=',1,243)
LexToken(NUMBER,123456789,1,246)
LexToken(SEMICOLON,';',1,257)
LexToken(VARIABLE,'$caracteresEspeciales',1,263)
LexToken(EQUALS,'=',1,285)
LexToken(MODULO,'%',1,292)
LexToken(MULTIPLY,'*',1,295)
LexToken(OPEN_PARENTHESIS,'(',1,296)
LexToken(CLOSE_PARENTHESIS,')',1,297)
LexToken(MINUS,'-',1,298)
LexToken(IDENTIFIER,'_',1,299)
LexToken(OPEN_SQUARE_BRACKET,'[',1,300)
LexToken(CLOSE_SQUARE_BRACKET,']',1,301)
LexToken(OPEN_CURLY_BRACKET,'{',1,302)
LexToken(CLOSE_CURLY_BRACKET,'}',1,303)
LexToken(LESS_THAN,'<',1,304)
LexToken(GREATER_THAN,'>',1,305)
LexToken(PLUS,'+',1,308)
LexToken(EQUALS,'=',1,309)
LexToken(COMMA,',',1,310)
LexToken(CONCATENATION,'.',1,311)
LexToken(SEMICOLON,';',1,312)
LexToken(COLON,':',1,313)
LexToken(DIVIDE,'/',1,314)
LexToken(SEMICOLON,';',1,318)
LexToken(IDENTIFIER,'Combinar',1,332)
LexToken(IDENTIFIER,'todos',1,341)
LexToken(IDENTIFIER,'los',1,347)
LexToken(IDENTIFIER,'caracteres',1,351)
LexToken(VARIABLE,'$todosLosCaracteres',1,366)
LexToken(EQUALS,'=',1,386)
LexToken(VARIABLE,'$letrasMayusculas',1,388)
LexToken(CONCATENATION,'.',1,406)
LexToken(VARIABLE,'$letrasMinusculas',1,408)
LexToken(CONCATENATION,'.',1,426)
LexToken(VARIABLE,'$numeros',1,428)
LexToken(CONCATENATION,'.',1,437)
LexToken(VARIABLE,'$caracteresEspeciales',1,439)
LexToken(SEMICOLON,';',1,460)
LexToken(IDENTIFIER,'Asegurarse',1,474)
LexToken(IDENTIFIER,'de',1,485)
LexToken(IDENTIFIER,'que',1,488)
LexToken(IDENTIFIER,'la',1,492)
LexToken(IDENTIFIER,'contrase',1,495)
LexToken(IDENTIFIER,'a',1,504)
LexToken(IDENTIFIER,'contenga',1,506)
LexToken(IDENTIFIER,'al',1,515)
LexToken(IDENTIFIER,'menos',1,518)
LexToken(IDENTIFIER,'uno',1,524)
LexToken(IDENTIFIER,'de',1,528)
LexToken(IDENTIFIER,'cada',1,531)
LexToken(IDENTIFIER,'tipo',1,536)
